rule_id,rule_category,rule_name,rule_description,severity,validation_method,example_violation,example_correct
RULE-020,EXTRACTION,Lógica Completa,TODA lógica de negócio relevante DEVE ser extraída,MEDIUM,Busca por IF/EVALUATE/PERFORM,"15 blocos extraídos de 20 existentes","20 blocos extraídos de 20 existentes"
RULE-021,QUALITY,IDs Únicos,Todos IDs (screen_id/field_id/etc) DEVEM ser únicos,CRITICAL,Verificar duplicatas em arrays,"2 screens com SCR-001","Cada screen com ID único"
RULE-022,QUALITY,IDs Sequenciais,IDs DEVEM seguir padrão sequencial (SCR-001, SCR-002),MEDIUM,Verificar sequência numérica,"SCR-001, SCR-005, SCR-002","SCR-001, SCR-002, SCR-003"
RULE-023,QUALITY,Complexity Score Válido,complexity_score DEVE estar entre 1 e 10,MEDIUM,Verificar 1 <= score <= 10,"complexity_score: 15","complexity_score: 8"
RULE-024,QUALITY,Tables Referenced Completo,Queries DEVEM listar todas tabelas referenciadas,HIGH,Extrair tabelas de FROM/JOIN,"tables: [] com SELECT FROM BANCOS","tables: ['BANCOS']"
RULE-025,QUALITY,Parameters Identificados,Queries DEVEM identificar parâmetros (:variavel),MEDIUM,Buscar padrão :NOME-VAR,"parameters: [] com :WS-COD no SQL","parameters: ['WS-COD']"
RULE-026,CONSISTENCY,Line Range Consistente,line_range DEVE ser consistente com evidence_pointer,HIGH,Extrair números de evidence_pointer,"evidence L0100-L0200, range 150-250","evidence L0100-L0200, range 100-200"
RULE-027,CONSISTENCY,Fields Count Correto,fields_count DEVE corresponder a campos extraídos,MEDIUM,Contar fields com screen_id,"fields_count: 10 com 12 fields reais","fields_count: 12 com 12 fields reais"
RULE-028,CONSISTENCY,Summary Correto,Valores em summary DEVEM corresponder aos arrays,HIGH,Contar elementos em arrays,"total_screens: 3 com 5 screens no array","total_screens: 5 com 5 screens no array"
RULE-029,SECURITY,Hash SHA-256 Válido,file_hash_sha256 DEVE ser hash válido do arquivo,HIGH,Calcular hash e comparar,"hash incorreto ou ausente","hash b6fe2994ed7416e7..."
RULE-030,SECURITY,Timestamp ISO 8601,extraction_timestamp DEVE seguir formato ISO 8601,MEDIUM,Verificar formato YYYY-MM-DDTHH:mm:ssZ,"timestamp: 27/12/2025 10:30","timestamp: 2025-12-27T10:30:00Z"
RULE-031,DOCUMENTATION,Pseudo Code Presente,Lógica complexa (score >= 7) DEVE ter pseudo_code,MEDIUM,Verificar presença quando score >= 7,"score 8 sem pseudo_code","score 8 com pseudo_code detalhado"
RULE-032,DOCUMENTATION,Validation Rules Listadas,Fields com validação DEVEM listar regras,MEDIUM,Verificar validation_rules quando aplicável,"REQUIRED no código, sem em validation_rules","REQUIRED listado em validation_rules"
RULE-033,PERFORMANCE,Extraction Duration Razoável,Extração NÃO deve exceder 5 minutos por 1000 linhas,LOW,Calcular tempo / (total_lines/1000),"300s para 1000 linhas","45s para 6842 linhas"
RULE-034,PERFORMANCE,JSON Size Razoável,JSON NÃO deve exceder 10MB sem compressão,LOW,Verificar tamanho do arquivo,"15MB para arquivo pequeno","2.5MB para 6842 linhas"
RULE-035,TRACEABILITY,Rastreabilidade Completa,CADA elemento DEVE ser rastreável ao código fonte,CRITICAL,Verificar evidence_pointer em todos elementos,"Elementos sem evidence_pointer","100% elementos com evidence_pointer"




